method|file name|time|result
seuil_1|ex100k_1.txt|2.0587432384490967|9.055385138137417
seuil_2|ex100k_1.txt|2.002399206161499|9.055385138137417
seuil_3|ex100k_1.txt|1.8980603218078613|9.055385138137417
seuil_4|ex100k_1.txt|1.902249813079834|9.055385138137417
seuil_5|ex100k_1.txt|1.9080538749694824|9.055385138137417
seuil_6|ex100k_1.txt|1.8202741146087646|9.055385138137417
seuil_7|ex100k_1.txt|1.7615106105804443|9.055385138137417
seuil_8|ex100k_1.txt|1.8759899139404297|9.055385138137417
seuil_9|ex100k_1.txt|1.7343173027038574|9.055385138137417
seuil_10|ex100k_1.txt|1.7274644374847412|9.055385138137417
seuil_11|ex100k_1.txt|1.7434990406036377|9.055385138137417
seuil_12|ex100k_1.txt|1.6306953430175781|9.055385138137417
seuil_13|ex100k_1.txt|1.642747163772583|9.055385138137417
seuil_14|ex100k_1.txt|1.6445584297180176|9.055385138137417
seuil_15|ex100k_1.txt|1.6079437732696533|9.055385138137417
seuil_16|ex100k_1.txt|1.6039893627166748|9.055385138137417
seuil_17|ex100k_1.txt|1.61495041847229|9.055385138137417
seuil_18|ex100k_1.txt|1.6316735744476318|9.055385138137417
seuil_19|ex100k_1.txt|1.651628017425537|9.055385138137417
seuil_20|ex100k_1.txt|1.597851037979126|9.055385138137417
seuil_21|ex100k_1.txt|1.6019208431243896|9.055385138137417
seuil_22|ex100k_1.txt|1.6037492752075195|9.055385138137417
seuil_23|ex100k_1.txt|1.6098747253417969|9.055385138137417
seuil_24|ex100k_1.txt|1.611966848373413|9.055385138137417
seuil_25|ex100k_1.txt|1.6211090087890625|9.055385138137417
seuil_26|ex100k_1.txt|1.6188297271728516|9.055385138137417
seuil_27|ex100k_1.txt|1.6168968677520752|9.055385138137417
seuil_28|ex100k_1.txt|1.6138439178466797|9.055385138137417
seuil_29|ex100k_1.txt|1.6127026081085205|9.055385138137417
seuil_30|ex100k_1.txt|1.613821029663086|9.055385138137417
seuil_31|ex100k_1.txt|1.6167466640472412|9.055385138137417
seuil_32|ex100k_1.txt|1.6176543235778809|9.055385138137417
seuil_33|ex100k_1.txt|1.6359553337097168|9.055385138137417
seuil_34|ex100k_1.txt|1.6166553497314453|9.055385138137417
seuil_35|ex100k_1.txt|1.617837905883789|9.055385138137417
seuil_36|ex100k_1.txt|1.616746187210083|9.055385138137417
seuil_37|ex100k_1.txt|1.6128013134002686|9.055385138137417
seuil_38|ex100k_1.txt|1.6149487495422363|9.055385138137417
seuil_39|ex100k_1.txt|1.6117379665374756|9.055385138137417
seuil_40|ex100k_1.txt|1.6127288341522217|9.055385138137417
seuil_41|ex100k_1.txt|1.6097960472106934|9.055385138137417
seuil_42|ex100k_1.txt|1.6157491207122803|9.055385138137417
seuil_43|ex100k_1.txt|1.6099436283111572|9.055385138137417
seuil_44|ex100k_1.txt|1.6107137203216553|9.055385138137417
seuil_45|ex100k_1.txt|1.6147181987762451|9.055385138137417
seuil_46|ex100k_1.txt|1.6248092651367188|9.055385138137417
seuil_47|ex100k_1.txt|1.6128058433532715|9.055385138137417
seuil_48|ex100k_1.txt|1.6764965057373047|9.055385138137417
seuil_49|ex100k_1.txt|2.019680976867676|9.055385138137417
seuil_50|ex100k_1.txt|2.0125892162323|9.055385138137417
seuil_51|ex100k_1.txt|2.017688035964966|9.055385138137417
seuil_52|ex100k_1.txt|2.014049768447876|9.055385138137417
seuil_53|ex100k_1.txt|2.012824773788452|9.055385138137417
seuil_54|ex100k_1.txt|2.012714385986328|9.055385138137417
seuil_55|ex100k_1.txt|2.0176379680633545|9.055385138137417
seuil_56|ex100k_1.txt|2.0137574672698975|9.055385138137417
seuil_57|ex100k_1.txt|2.014665126800537|9.055385138137417
seuil_58|ex100k_1.txt|2.0158040523529053|9.055385138137417
seuil_59|ex100k_1.txt|2.011859655380249|9.055385138137417
seuil_60|ex100k_1.txt|2.015869379043579|9.055385138137417
seuil_61|ex100k_1.txt|2.0261926651000977|9.055385138137417
seuil_62|ex100k_1.txt|2.021653413772583|9.055385138137417
seuil_63|ex100k_1.txt|2.020594835281372|9.055385138137417
seuil_64|ex100k_1.txt|2.0187597274780273|9.055385138137417
seuil_65|ex100k_1.txt|2.042478322982788|9.055385138137417
seuil_66|ex100k_1.txt|2.0177412033081055|9.055385138137417
seuil_67|ex100k_1.txt|2.01703143119812|9.055385138137417
seuil_68|ex100k_1.txt|2.012880802154541|9.055385138137417
seuil_69|ex100k_1.txt|2.0118041038513184|9.055385138137417
seuil_70|ex100k_1.txt|2.0127882957458496|9.055385138137417
seuil_71|ex100k_1.txt|2.00984263420105|9.055385138137417
seuil_72|ex100k_1.txt|2.0175509452819824|9.055385138137417
seuil_73|ex100k_1.txt|2.0177969932556152|9.055385138137417
seuil_74|ex100k_1.txt|2.0179712772369385|9.055385138137417
seuil_75|ex100k_1.txt|2.0129008293151855|9.055385138137417
seuil_76|ex100k_1.txt|2.017704963684082|9.055385138137417
seuil_77|ex100k_1.txt|2.012599229812622|9.055385138137417
seuil_78|ex100k_1.txt|2.0147545337677|9.055385138137417
seuil_79|ex100k_1.txt|2.020697832107544|9.055385138137417
